GeneId.Ensembl;PANC.1;PANC.2;SCR.1;SCR.2;SH.1;SH.2;mock.1;mock.2;mrp4.1;mrp4.2;Xmock.1;Xmock.2;Xmock.3;Xmrp4.1;Xmrp4.2;Xmrp4.3;GeneSymbol
ENSG00000010292.13;5227;6116;5654;4409;4294;4096;4165;6671;4980;5528;1559;1451;1874;3097;1773;2474;NCAPD2
ENSG00000239002.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SCARNA10
ENSG00000111640.15;54351;44097;58385;43757;41047;46960;30867;29380;32020;35323;17637;10616;18194;36520;30912;33759;GAPDH
ENSG00000010295.20;10;3;0;2;0;0;907;1030;947;1125;461;397;621;1036;551;695;IFFO1
ENSG00000111641.12;13;12;6;7;7;7;7;15;7;9;3;2;3;17;18;14;NOP2
ENSG00000111642.16;457;318;167;198;195;269;1080;771;791;895;1299;1638;1708;2217;1368;1242;CHD4
ENSG00000251898.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SCARNA11
ENSG00000184574.10;1;1;0;0;2;1;3;6;1;0;12;2;7;0;2;1;LPAR5
ENSG00000111644.8;2;5;9;3;5;2;3;5;6;1;0;0;0;0;0;4;ACRBP
ENSG00000111653.20;252;246;92;59;85;88;288;303;293;359;199;247;471;401;313;497;ING4
ENSG00000126746.18;379;556;255;359;318;237;306;465;353;462;20;21;51;167;112;154;ZNF384
ENSG00000139200.14;10;23;24;9;22;10;413;593;46;109;247;176;241;101;27;95;PIANP
ENSG00000252186.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;RNU6-781P
ENSG00000111652.10;1257;1228;950;815;906;1016;1498;1336;1223;1254;665;450;732;1013;640;744;COPS7A
ENSG00000089693.11;5218;4032;4652;3582;4633;4357;6509;5924;6072;6511;4914;4485;6276;8571;5023;6417;MLF2
ENSG00000159335.18;13595;9287;8700;8048;10352;8485;5068;6132;2934;3233;7407;6811;10042;10669;7862;7462;PTMS
ENSG00000089692.9;48;26;18;4;7;11;5;6;5;0;0;9;21;17;3;13;LAG3
ENSG00000244532.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RN7SL380P
ENSG00000010610.10;2;0;4;0;1;2;2;19;2;5;4;5;5;4;0;2;CD4
ENSG00000250510.8;18;22;28;3;8;6;188;286;62;60;137;104;162;117;16;94;GPR162
ENSG00000110811.20;409;368;646;373;541;552;685;1011;583;648;744;599;1035;1058;735;846;P3H3
ENSG00000111664.11;11;13;12;9;7;16;70;84;93;110;34;60;77;89;44;87;GNB3
ENSG00000111665.12;1866;1518;1966;1493;1573;1688;1576;1112;1050;1204;805;728;1068;1364;780;991;CDCA3
ENSG00000111667.14;3653;3307;3311;2420;2827;2716;2446;2761;3185;3039;1037;1071;1612;2828;1561;2040;USP5
ENSG00000111669.15;24101;18502;17879;14545;13847;16924;30007;21535;24832;25460;19563;18203;26785;36824;24190;29353;TPI1
ENSG00000111671.10;279;227;152;158;153;156;186;167;203;167;130;98;118;129;95;233;SPSB2
ENSG00000240370.6;40;53;59;45;47;36;17;31;21;12;7;0;9;9;2;1;RPL13P5
ENSG00000010626.15;146;144;121;76;90;128;154;157;138;108;81;125;202;226;130;105;LRRC23
ENSG00000248593.3;177;179;152;114;119;157;82;82;43;46;32;52;40;35;21;53;DSTNP2
ENSG00000111674.9;327;455;890;382;1036;1081;1468;1806;467;592;1397;1558;2094;1165;446;817;ENO2
ENSG00000111676.15;3818;4531;2894;3174;3486;2312;3013;3860;2942;3319;1661;1328;1985;2455;1386;2268;ATN1
ENSG00000111678.11;269;152;232;204;190;137;108;190;77;109;203;272;255;215;177;202;C12orf57
ENSG00000238923.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RNU7-1
ENSG00000111679.17;208;236;56;12;25;19;99;115;13;24;138;95;215;27;19;23;PTPN6
